Unique ID,Road transport code,Year,Region,South Island Dual Fuel Trucks,Diesel Emissions,Duel Fuel Emissions,Duel fuel emmission savings,Emissions total,Abatement Duel fuel diesel hydrogen,Abatement fuel cell electric vehicle,Abatement biodiesel (FAME),Abatement renewable diesel,
HEAVY HAULAGE-Tasman Marlborough-2022-Dual fuel,HEAVY HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2022-Dual fuel,LOG HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2022-Dual fuel,REFRIG. HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2022-Dual fuel,STOCK CARTAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2022-Dual fuel,GENERAL GOODS - LINE HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2022-Dual fuel,GENERAL GOODS - LOCAL,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
HEAVY HAULAGE-West Coast Region-2022-Dual fuel,HEAVY HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2022-Dual fuel,LOG HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2022-Dual fuel,STOCK CARTAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2023,FURNITURE REMOVALS,2023,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2023,GENERAL GOODS - LINE HAULAGE,2023,Canterbury Region,369,0,48708,0,0,48708,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2023,GENERAL GOODS - LOCAL,2023,Canterbury Region,322,0,42504,0,0,42504,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2023,HEAVY HAULAGE,2023,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2023,LOG HAULAGE,2023,Canterbury Region,102,0,13464,0,0,13464,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2023,REFRIG. HAULAGE,2023,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2023,STOCK CARTAGE,2023,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2023,FURNITURE REMOVALS,2023,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2023,GENERAL GOODS - LINE HAULAGE,2023,Otago Region,157,0,20724,0,0,20724,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2023,GENERAL GOODS - LOCAL,2023,Otago Region,159,0,20988,0,0,20988,0,0,0,0
HEAVY HAULAGE-Otago Region-2023,HEAVY HAULAGE,2023,Otago Region,46,0,6072,0,0,6072,0,0,0,0
LOG HAULAGE-Otago Region-2023,LOG HAULAGE,2023,Otago Region,181,0,23892,0,0,23892,0,0,0,0
REFRIG. HAULAGE-Otago Region-2023,REFRIG. HAULAGE,2023,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2023,STOCK CARTAGE,2023,Otago Region,127,0,16764,0,0,16764,0,0,0,0
