tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
Australia,Australasia,Oceania,2020:04:16 02:34:03,6440,63,2186,4191,Australia,16-April
Austria,West Europe,Europe,2020:04:16 02:26:13,14350,393,8098,5859,Austria,16-April
Canada,North America,The Americas,2020:04:16 02:33:47,28253,1010,8979,18264,Canada,16-April
China,East Asia,Asia,2020:04:16 01:44:35,83392,3346,78325,1721,China,16-April
Denmark,North Europe,Europe,2020:04:16 02:26:13,6876,309,2925,3642,Denmark,16-April
Finland,North Europe,Europe,2020:04:16 02:26:13,3237,72,300,2865,Finland,16-April
France,West Europe,Europe,2020:04:16 02:26:13,134582,17188,31470,85924,France,16-April
Germany,West Europe,Europe,2020:04:16 02:26:13,134753,3804,72600,58349,Germany,16-April
Iceland,North Europe,Europe,2020:04:16 02:26:13,1727,8,1077,642,Iceland,16-April
Ireland,North Europe,Europe,2020:04:16 02:26:13,12547,444,77,12026,Ireland,16-April
Italy,South Europe,Europe,2020:04:16 02:26:13,165155,21645,38092,105418,Italy,16-April
Netherlands,West Europe,Europe,2020:04:16 02:26:13,28316,3145,304,24867,Netherlands,16-April
Norway,North Europe,Europe,2020:04:16 02:26:13,6798,150,32,6616,Norway,16-April
Russia,East Europe,Europe,2020:04:16 02:26:13,24490,198,1986,22306,Russia,16-April
Sweden,North Europe,Europe,2020:04:16 02:26:13,11927,1203,381,10343,Sweden,16-April
Switzerland,West Europe,Europe,2020:04:16 02:26:13,26336,1239,15400,9697,Switzerland,16-April
United Kingdom,North Europe,Europe,2020:04:16 02:26:13,99489,12894,368,86227,United Kingdom,16-April
US,North America,The Americas,2020:04:16 02:26:31,638111,30844,52640,554627,United States,16-April
Afghanistan,South Asia,Asia,2020:04:16 02:26:13,784,25,43,716,Afghanistan,16-April
Albania,South Europe,Europe,2020:04:16 02:26:13,494,25,251,218,Albania,16-April
Algeria,North Africa,Africa,2020:04:16 02:26:13,2160,336,708,1116,Algeria,16-April
Andorra,South Europe,Europe,2020:04:16 02:26:13,673,33,169,471,Andorra,16-April
Angola,Central Africa,Africa,2020:04:16 02:26:13,19,2,5,12,Angola,16-April
Antigua and Barbuda,Caribbean,The Americas,2020:04:16 02:26:13,23,2,3,18,Antigua and Barbuda,16-April
Argentina,South America,The Americas,2020:04:16 02:26:13,2571,112,596,1863,Argentina,16-April
Armenia,West Asia,Asia,2020:04:16 02:26:13,1111,17,297,797,Armenia,16-April
Azerbaijan,West Asia,Asia,2020:04:16 02:26:13,1253,13,404,836,Azerbaijan,16-April
Bahamas,Caribbean,The Americas,2020:04:16 02:26:13,53,8,6,39,"Bahamas, The",16-April
Bahrain,West Asia,Asia,2020:04:16 02:26:13,1671,7,663,1001,Bahrain,16-April
Bangladesh,South Asia,Asia,2020:04:16 02:26:13,1231,50,49,1132,Bangladesh,16-April
Barbados,Caribbean,The Americas,2020:04:16 02:26:13,75,5,15,55,Barbados,16-April
Belarus,East Europe,Europe,2020:04:16 02:26:13,3728,36,203,3489,Belarus,16-April
Belgium,West Europe,Europe,2020:04:16 02:26:13,33573,4440,7107,22026,Belgium,16-April
Belize,Central America,The Americas,2020:04:16 02:26:13,18,2,0,16,Belize,16-April
Benin,West Africa,Africa,2020:04:16 02:26:13,35,1,18,16,Benin,16-April
Bhutan,South Asia,Asia,2020:04:16 02:26:13,5,0,2,3,Bhutan,16-April
Bolivia,South America,The Americas,2020:04:16 02:26:13,441,29,14,398,Bolivia,16-April
Bosnia and Herzegovina,South Europe,Europe,2020:04:16 02:26:13,1110,41,253,816,Bosnia and Herzegovina,16-April
Botswana,Southern Africa,Africa,2020:04:16 02:26:13,13,1,0,12,Botswana,16-April
Brazil,South America,The Americas,2020:04:16 02:26:13,28912,1760,14026,13126,Brazil,16-April
Brunei,Southeast Asia,Asia,2020:04:16 02:26:13,136,1,108,27,Brunei,16-April
Bulgaria,East Europe,Europe,2020:04:16 02:26:13,747,36,105,606,Bulgaria,16-April
Burkina Faso,West Africa,Africa,2020:04:16 02:26:13,542,32,226,284,Burkina Faso,16-April
Burma,Southeast Asia,Asia,2020:04:16 02:26:13,74,4,2,68,Myanmar (Burma),16-April
Burundi,East Africa,Africa,2020:04:16 02:26:13,5,1,0,4,Burundi,16-April
Cabo Verde,West Africa,Africa,2020:04:16 02:26:13,56,1,1,54,Cape Verde,16-April
Cambodia,Southeast Asia,Asia,2020:04:16 02:26:13,122,0,96,26,Cambodia,16-April
Cameroon,Central Africa,Africa,2020:04:16 02:26:13,848,17,165,666,Cameroon,16-April
Central African Republic,Central Africa,Africa,2020:04:16 02:26:13,12,0,4,8,Central African Republic,16-April
Chad,Central Africa,Africa,2020:04:16 02:26:13,23,0,2,21,Chad,16-April
Chile,South America,The Americas,2020:04:16 02:26:13,8273,94,2937,5242,Chile,16-April
Colombia,South America,The Americas,2020:04:16 02:26:13,3105,131,452,2522,Colombia,16-April
Congo (Brazzaville),Central Africa,Africa,2020:04:16 02:26:13,117,5,11,101,Congo,16-April
Congo (Kinshasa),Central Africa,Africa,2020:04:16 02:26:13,254,21,21,212,Congo,16-April
Costa Rica,Central America,The Americas,2020:04:16 02:26:13,626,4,67,555,Costa Rica,16-April
Cote d'Ivoire,West Africa,Africa,2020:04:16 02:26:13,654,6,146,502,Ivory Coast,16-April
Croatia,South Europe,Europe,2020:04:16 02:26:13,1741,33,473,1235,Croatia,16-April
Cuba,Caribbean,The Americas,2020:04:16 02:26:13,814,24,151,639,Cuba,16-April
Cyprus,West Asia,Asia,2020:04:16 02:26:13,715,12,65,638,Cyprus,16-April
