tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
MS Zaandam,Other,Other,2020:04:20 03:30:32,9,2,0,7,MS Zaandam,20-April
Madagascar,East Africa,Africa,2020:04:20 03:30:32,121,0,39,82,Madagascar,20-April
Malawi,East Africa,Africa,2020:04:20 03:30:32,17,2,3,12,Malawi,20-April
Malaysia,Southeast Asia,Asia,2020:04:20 03:30:32,5389,89,3197,2103,Malaysia,20-April
Maldives,South Asia,Asia,2020:04:20 03:30:32,52,0,16,36,Maldives,20-April
Mali,West Africa,Africa,2020:04:20 03:30:32,224,14,42,168,Mali,20-April
Malta,South Europe,Europe,2020:04:20 03:30:32,427,3,118,306,Malta,20-April
Mauritania,West Africa,Africa,2020:04:20 03:30:32,7,1,6,0,Mauritania,20-April
Mauritius,East Africa,Africa,2020:04:20 03:30:32,328,9,208,111,Mauritius,20-April
Mexico,Central America,The Americas,2020:04:20 03:30:32,8261,686,2627,4948,Mexico,20-April
Moldova,East Europe,Europe,2020:04:20 03:30:32,2472,67,457,1948,Moldova,20-April
Monaco,West Europe,Europe,2020:04:20 03:30:32,94,3,22,69,Monaco,20-April
Mongolia,East Asia,Asia,2020:04:20 03:30:32,32,0,7,25,Mongolia,20-April
Montenegro,South Europe,Europe,2020:04:20 03:30:32,308,5,55,248,Montenegro,20-April
Morocco,North Africa,Africa,2020:04:20 03:30:32,2855,141,327,2387,Morocco,20-April
Mozambique,East Africa,Africa,2020:04:20 03:30:32,39,0,8,31,Mozambique,20-April
Namibia,Southern Africa,Africa,2020:04:20 03:30:32,16,0,6,10,Namibia,20-April
Nepal,South Asia,Asia,2020:04:20 03:30:32,31,0,4,27,Nepal,20-April
New Zealand,Australasia,Oceania,2020:04:20 03:30:32,1440,12,974,454,New Zealand,20-April
Nicaragua,Central America,The Americas,2020:04:20 03:30:32,10,2,6,2,Nicaragua,20-April
Niger,West Africa,Africa,2020:04:20 03:30:32,648,20,117,511,Niger,20-April
Nigeria,West Africa,Africa,2020:04:20 03:30:32,627,21,170,436,Nigeria,20-April
North Macedonia,South Europe,Europe,2020:04:20 03:30:32,1207,51,179,977,Macedonia,20-April
Oman,West Asia,Asia,2020:04:20 03:30:32,1266,7,233,1026,Oman,20-April
Pakistan,South Asia,Asia,2020:04:20 03:30:32,8348,168,1868,6312,Pakistan,20-April
Panama,Central America,The Americas,2020:04:20 03:30:32,4467,126,165,4176,Panama,20-April
Papua New Guinea,Australasia,Oceania,2020:04:20 03:30:32,7,0,0,7,Papua New Guinea,20-April
Paraguay,South America,The Americas,2020:04:20 03:30:32,206,8,41,157,Paraguay,20-April
Peru,South America,The Americas,2020:04:20 03:30:32,15628,400,6811,8417,Peru,20-April
